,mass,meta_rate
547,14.45,5992.7
548,11.3,2733.7
549,0.405,486.7
550,0.466,398.8
551,0.385,296.3
552,0.362,436.0
553,0.492,413.5
554,0.428,247.7
555,0.446,291.8
556,0.41,278.7
557,0.467,322.6
558,0.462,424.4
559,0.453,341.3
560,0.546,592.9
561,0.687,511.8
562,0.47,363.8
563,0.411,356.5
564,0.4,323.8
565,0.366,234.7
566,0.4,334.9
567,0.679,655.0
568,0.55,455.5
569,0.465,346.7
570,0.485,583.9
571,0.62,556.4
572,0.679,795.3999999999999
573,0.654,528.2
574,0.588,507.6
575,0.585,491.7
576,0.49,354.7
577,0.56,409.5
578,0.07549999999999998,109.5
579,0.0825,175.0
580,0.077,157.2
581,0.07200000000000001,146.6
582,0.0705,138.4
583,0.0815,133.3
584,0.0693,113.2
585,0.08765,177.45
586,0.0713,125.45
587,0.07875,109.15
588,0.0758,118.2
589,0.08079999999999998,253.9
590,0.07449999999999998,79.7
591,0.0703,162.2
592,0.07489999999999998,91.3
593,0.0913,126.8
594,0.078,118.7
595,0.0688,102.85
596,0.07255,102.8
597,0.41,801.7899999999998
598,0.375,770.72
599,0.4,1006.4
600,0.385,884.7799999999999
601,0.39,945.66
602,0.33,961.85
603,0.355,468.72
604,0.385,875.97
605,0.0273,93.6
606,0.023,95.2
607,0.0244,88.2
608,0.022,87.09999999999998
609,0.023,73.5
610,0.025,96.9
611,0.0247,68.4
612,0.0218,73.2
613,0.0213,70.0
614,0.0226,88.0
615,0.0241,106.7
616,0.0278,96.8
617,0.0256,83.29999999999998
618,0.0261,93.4
619,0.024,87.0
620,0.0261,104.8
621,0.0235,93.7
622,0.0232,87.9
623,0.0267,73.0
624,0.0149,45.38
625,0.0145,67.85
626,0.0157,82.53
627,0.0159,72.37
628,0.0143,68.37
629,0.0145,71.58
630,0.0139,62.78
631,0.0149,69.3
632,0.0149,46.72
633,0.0142,63.0
634,0.0137,51.28
635,0.0142,60.49
636,0.0147,58.97
637,0.0136,64.78
638,0.0133,52.46
639,0.0139,65.38
640,0.0142,57.49
641,0.0141,71.89
642,0.0148,73.12999999999998
643,0.0137,52.57
644,0.0133,55.29
645,0.0151,55.74
646,0.0152,73.2
647,0.0159,58.1
648,0.0113,47.47
649,0.0114,40.59
650,0.0113,33.65
651,0.0107,36.1
652,0.0115,47.95
653,0.0105,38.74
654,0.0111,41.59
655,0.0108,38.71
656,0.0108,62.22
657,0.0094,38.57
658,0.0091,46.31
659,0.008699999999999998,43.68
660,0.0099,49.48
661,0.0091,44.04
662,0.0116,46.36
663,0.0101,42.82
664,0.012,45.98
665,0.012,31.85
666,0.0111,39.31
667,0.0107,40.92
668,0.0117,39.35
669,0.0108,40.85
670,0.0118,43.57
671,0.0149,70.5
672,0.0159,79.5
673,0.0156,87.0
674,0.0162,104.1
675,0.0165,72.79999999999998
676,0.0174,70.5
677,0.0163,80.59999999999998
678,0.016,72.7
679,0.0142,75.4
680,0.0156,73.2
681,0.0155,75.9
682,0.017,80.59999999999998
683,0.0131,84.29999999999998
684,0.0124,72.29999999999998
685,0.0122,74.59999999999998
686,0.0126,64.6
687,0.0129,65.1
688,0.0134,78.2
689,0.0125,67.9
690,0.0123,73.09999999999998
691,0.0126,81.59999999999998
692,0.0126,78.9
693,0.0123,83.2
694,0.012,64.0
695,0.0133,72.7
696,0.0119,69.2
697,0.0123,70.0
698,0.0125,68.2
699,0.012,70.0
700,0.0128,62.4
701,0.0126,71.6
702,0.0143,63.6
703,0.0135,81.7
704,0.0132,75.0
705,0.0124,67.1
706,0.012,69.3
707,0.0126,65.0
708,0.013,60.3
709,0.0127,72.0
710,0.013,69.4
711,0.0123,72.79999999999998
712,0.013,84.5
713,0.0121,62.8
714,0.0124,72.09999999999998
715,0.0116,59.8
716,0.0138,77.9
717,0.0118,55.9
718,0.0126,72.29999999999998
719,0.09725,284.4
720,0.118,393.5
721,0.11,329.15
722,0.16,245.5
723,0.1275,257.2
724,2.205,610.0
725,10.4,1804.7
726,10.1,2045.0
727,11.667,2219.3
728,7.0667,1799.5
729,8.5667,1789.9
730,7.8333,2551.6
731,6.25,2531.2
732,6.7,1922.9
733,3.2,1110.4
734,9.43,3291.1
735,5.8,2401.2
736,7.4,2449.4
737,3.9933,586.07
738,4.2167,489.05
739,3.6667,592.88
740,4.4,721.6
741,4.55,773.5
742,3.81,1310.0
743,4.04,6160.0
744,4.0,4400.0
745,3.65,2680.0
746,4.08,2880.0
747,3.38,3420.0
748,4.42,3800.0
749,4.25,3970.0
750,3.66,4120.0
751,3.9,4430.0
752,3.94,5250.0
753,0.11,187.0
754,0.098,144.0
755,0.104,171.0
756,0.121,139.0
757,0.116,151.0
758,0.163,208.0
759,0.114,156.0
760,0.162,202.0
761,0.121,169.0
762,0.108,147.0
763,0.106,184.0
764,0.138,196.0
765,0.098,137.0
766,0.13,212.0
767,0.126,125.0
768,2.9,1867.5
769,2.58,1567.2
770,3.65,2262.3
